token_final,label
"['서울', '지방', '병무청', '탈의실', '에', '설치', '된', '에', '대한', '진상', '규명', '을', '요구', '한', '다', '또한', '인권위', '의', '미온', '적', '대응', '을', '규탄', '한다', '본인', '경', '서울', '지방', '병무청', '제', '검사', '탈의실', '수', '것', '발견', '탈의실', '천장', '를', '발견', '것', '본인', '이', '경악', '탈의실', '를', '설치', '것', '개인정보보호법', '항', '위반', '사안', '법적', '문제', '촬영', '성폭력', '범죄', '처벌', '등', '관', '특례법', '항', '위반', '또한', '법적', '제일', '뿐', '개인', '자유', '침해', '성적', '수치심', '매우', '윤리', '문제', '불법', '카메라', '그', '자체', '문제', '공공기관', '탈의실', '불법', '비', '윤리', '카메라', '설치', '운영', '상황', '발생', '도대체', '한국', '정부', '인권', '무엇', '생각', '것', '발견', '직후', '인권위', '진정', '인권위', '현재', '조사', '진행', '답변', '병무청', '답변', '더', '이상', '답변', '것', '의미', '생각', '본인', '모', '커뮤니티', '이', '사실', '이후', '이슈', '화가', '병무청', '운영', '대답', '이', '대한', '조사', '경과', '발표', '사과', '책임', '대응', '전혀', '개인', '자유', '권리', '본질', '내용', '침해', '강제', '징집', '국제노동기구', '인정', '강제', '징용', '강제노동', '남성', '국가', '신체', '감시', '사건', '한국', '정부', '병역의무', '인권', '생각', '언제', '국가', '개인', '노예', '취급', '것', '백원', '시급', '강제', '폭력', '속', '것', '모자라', '이제', '어처구니', '일', '것', '경악', '수', '이', '본인', '위', '사실', '규탄', '아래', '대응', '요구', '서울', '지방', '병무청', '징병검사', '소', '탈의실', '설치', '경위', '운영', '여부', '관리', '역', '등', '대해', '낱낱이', '조사', '그', '진상', '병무청장', '지방', '병무청장', '이', '사건', '책임', '지고', '사퇴', '하라', '자진사퇴', '거부', '정부', '이', '파면', '이', '사건', '관련', '책임자', '담당자', '처벌', '병무', '정장', '명의', '사과문', '병무청', '사이트', '비롯', '온라인과', '전국', '신체검사', '소', '신체검사', '대상', '그', '사과', '내용', '알게', '사과', '내용', '조사', '경과', '언론', '배포', '이유', '인권위', '위', '민원', '무시', '조사', '책임자', '문책', '병무청', '제보자', '민원', '보복', '감시', '제보자', '민원', '적극', '보호', '한국', '정부', '남성', '강제', '징집', '강제노동', '대해', '최저임금', '배', '이상', '시급', '지급', '내', '현재', '징병제', '개혁', '강제', '징집', '강제', '징용', '강제노동', '폐지', '또한', '지금', '강제', '피해', '당한', '당사자', '사과', '합당', '피해', '보상금', '제공', '각주', '개인정보보호법', '제', '항', '제', '영상', '정보처리', '기기', '설치', '운영', '제한', '누구', '불', '특정', '다수', '이용', '목욕실', '화장실', '발', '한실', '탈의실', '등', '개인', '사생활', '현저', '침해', '우려', '장소', '내부', '볼', '수', '영상', '정보처리', '기기', '설치', '운영', '다만', '교도소', '정신', '보건', '시설', '등', '법령', '근거', '사람', '구금', '거나', '보호', '시설', '로서', '대통령령', '정', '시설', '대하', '여', '각주', '개인정보보호법', '제', '과태료', '항', '호', '다음', '각', '호의', '하나', '해당', '자', '이하', '과태료', '부과', '제', '항', '위반', '영상', '정보처리', '기기', '설치', '운영', '자', '각주', '성폭력', '범죄', '처벌', '등', '관', '특례법', '제', '카메라', '등', '이용', '촬영', '항', '카메라', '그', '이', '기능', '기계', '장치', '이용', '성적', '욕망', '수치심', '유발', '수', '사람', '신체', '촬영', '대상자', '의사', '촬영', '이하', '징역', '이하', '벌금', '처', '개정', '각주', '국제노동기구', '제', '호', '강제', '근로', '협약', '제', '호', '강제', '근로', '폐지', '협약', '제', '호', '정치', '견해', '기존', '정치', '사회', '제도', '사상', '반대', '견해', '발표', '것', '대한', '제재', '및', '정치', '억압', '교육', '수단', '나', '발전', '목적', '노동', '동원', '이용', '경우', '노동', '규제', '수단', '파업', '참가', '대한', '제재', '마', '인종', '사회', '민족', '종교', '차별', '대우', '수단']",No
"['주식시장', '활성화', '및', '소액', '개미', '투자자', '보호', '우리', '나라', '코스피', '총', '미국', '애플', '설', '돌', '정도', '한국', '주식시장', '평가', '시장', '투자', '매력', '말', '이유', '어디', '바로', '투자', '해도', '수익', '인식', '널리', '것', '지금', '투자', '매력', '우리', '나라', '시중', '부동', '자금', '것', '것', '외국', '투자', '자본', '또한', '실로', '어마', '것', '이', '투', '자금', '주식시장', '순환', '정부', '유', '자금', '주식', '시장', '분위기', '못', '현실', '생각', '국가', '지원', '돈', '이기', '정부', '정서', '말', '활성화', '위', '관심', '표명', '정책', '지원', '해도', '시장', '분위기', '것', '확신', '저', '정부', '다음', '청원', '주식시장', '더', '충격', '오기', '전', '정부', '예방', '조치', '수', '노력', '시기', '당부', '첫째', '주식시장', '활성화', '부양', '대한', '정부', '의지', '표명', '시오', '둘째', '코스닥', '종목', '공매도', '제외', '공매도', '제도', '아예', '제도', '적용', '시장', '코스닥', '종목', '제외', '해', '주어', '체력', '코스닥', '시장', '안정', '수', '거래', '시장', '주식', '거래', '세', '더', '개미', '소액', '투자', '율', '부과', '것', '불공정', '넷째', '중', '장기', '보유', '대한', '우대', '차원', '보유', '기간', '설정', '장기', '보유', '대한', '혜택', '주어', '초단', '매매', '등', '시장', '질서', '교란', '투자자', '분리', '제도', '도입', '시장', '안정화', '기여', '청원']",No
"['교정', '기관', '의', '민낮', '일로', '국민', '청원', '신청', '저', '구치소', '교도관', '이주', '전', '구치소', '독', '거실', '개', '성북구', '종암동', '구역', '편입', '및', '정신보건법', '개정', '정신질환', '수용', '갑자기', '폭증', '그날', '존속살인', '미수', '정신질환', '수용', '입소', '정신질환', '수용', '독', '거실', '수용', '독', '거실', '신입', '혼', '거실', '수용', '밤', '옆', '사람', '목', '팀', '원인', '직원', '진압하', '제', '휴게', '시간', '휴식', '못', '진정', '코피', '호홉', '곤란', '발생', '서울대', '병원', '여러', '종합', '검사', '끝', '확장', '심근', '병', '진단', '치료', '위', '주일', '응급', '입원', '검사', '끝', '갑상선', '항진', '증', '진단', '투약', '치료', '중', '심정지', '행인', '도움', '인공', '제세동기', '삽입', '시술', '인공', '제세동기', '재', '시술', '상태', '인공', '심장', '교체', '수술', '연', '철야', '당시', '근무', '상황', '대해', '병원', '업무', '과로', '업무', '재해', '해당', '직업', '환경', '의학', '소견', '서도', '발급', '저', '업무', '재해', '인정', '위', '공상', '소송', '행정소송', '심', '무상', '신청서', '병명', '갑상선', '항진', '과로', '연관', '확장', '심근', '병', '기록', '이유', '판결', '확장', '심근', '병', '기록', '무상', '신청서', '행정심판', '단계', '제', '심정', '지후', '회복', '위', '질병', '휴직', '복귀', '뒤', '기관', '무상', '신청서', '병명', '확장', '심근', '병', '인쇄', '용지', '주어', '서명', '날인', '후', '제출', '것', '당시', '저', '심정지', '유증', '뇌손상', '환경', '기억', '장애', '격는', '유증', '제대로', '항의', '또한', '재해', '발생', '경위서', '제', '변호사', '선임', '작성', '문서', '소장', '결제', '반려', '보안', '사항', '외부', '변호사', '이유', '행정', '직원', '다시', '작성', '과로', '용이', '기각', '작성', '재해', '발생', '경위서', '주어', '제', '하니', '변호사', '소송', '일단', '접수', '하라', '고', '접수', '연', '행정심판', '단계', '패소', '행정소송', '심', '정작', '기관', '준', '병명', '인쇄', '신청서', '판결', '그', '신청서', '당시', '총무', '직원', '보고', '집', '작성', '제출', '메일', '보', '집', '프린터', '검정색', '잉크', '빨간색', '출력', '작성', '못', '이튿날', '무과', '준', '용지', '날짜', '서명', '제출', '저', '팀', '장인', '책임', '조직', '동료', '민페', '안', '팀', '근무', '계시', '쉬', '못', '이', '대신', '과로', '심장', '기관', '이', '소송', '기관', '평', '감점', '승진', '지장', '이유', '갖은', '방법', '자료', '제출', '등', '소송', '방해', '소송', '무효', '위', '근무', '동안', '제', '과실', '근무', '보고서', '한장', '적', '심지어', '징계', '건', '사유', '징계', '과정', '강압', '제', '상황', '위조', '소송', '무효', '시도', '무상', '소송', '패소', '위해', '기관', '중앙', '통제', '실', '소송', '관계자', '배치', '저', '불법', '사찰', '소송', '이유', '근무', '문서', '출력', '위해', '프린터', '실', '간', '것', '근무', '이탈', '근무', '보고서', '제출', '요구', '징계', '견책', '아침', '점검', '시간', '저', '팀', '이', '서류', '제출', '요구', '통상', '점검', '시간', '서류', '제출', '요구', '제출', '미처', '점검', '준비', '못', '소출', '역', '방인', '방', '개문', '지적', '근무', '보고서', '제출', '하라', '제출', '잠시', '후', '행정', '계장', '전화', '교육', '불참', '이유', '다시', '근무', '보고서', '제출', '제출', '팀', '팀', '사무실', '개문', '교육', '불참', '이유', '징계', '통고', '소청', '고', '답변', '후', '채증', '녹음', '잠시', '후', '사실', '가라', '교대', '근무', '화장실', '제', '변호사', '조사', '감금', '조사', '거부', '고', '문의', '통화', '통화', '역', '첨부', '를', '저', '사실', '끌', '팀', '이', '통화', '목소리', '핸드폰', '통화', '징계', '고', '견책', '징계', '연', '근무', '보고서', '제출', '및', '호출', '보관', '함', '수', '심정', '지후', '제세동기', '시술', '몸', '상태', '상태', '가슴', '통증', '공로', '연수', '계획', '징계', '공로', '연수', '및', '명예퇴직', '조사', '후', '퇴근길', '부재', '전화', '통화', '계장', '행정', '계장', '저', '심정지', '때', '정황', '물어', '왜', '하니', '퇴근길', '답변', '무슨', '퇴근길', '며', '소리', '버럭', '심정', '지시', '정황', '위조', '시도', '화가', '소리', '주장', '다음', '날', '사실', '오라', '통화', '변호사', '상황', '전하', '앞', '모든', '조사', '거부', '강제', '연행', '신고', '보호', '고', '초', '긴장', '상태', '근무', '변론', '종결', '직원', '저', '징계', '소식', '일로', '징계', '고', '물어', '교육', '불참', '및', '점검', '시', '개문', '교육', '서로', '답변', '헌법', '규정', '보편', '타당성', '결여', '개별', '처분', '법률', '행사', '직권', '남용', '행정소송', '위법', '패소', '치료', '길이', '뿐', '제대로', '소송', '보장', '법치', '길이', '기도']",No
"['미세먼지', '저', '감', '대책', '미세먼지', '심각', '성은', '이제', '적극', '대안', '요구', '우리', '일상', '가장', '적극', '수', '것', '모든', '건축물', '외부', '스프링', '쿨러', '설치', '것', '도로', '변', '가로등', '등', '이용', '스프링', '쿨러', '설치', '일정', '농도', '이상', '미세먼지', '발생', '시', '물', '뿌리', '즉시', '미세먼지', '흡착', '수', '옥상', '조경', '건물', '외부', '수직', '정원', '등', '결합', '면', '환경문제', '적극', '해결', '수', '여름', '도', '이상', '온도', '수', '겨울', '미세먼지', '뿐', '도시', '온도', '도', '이상', '수도', '각', '가정', '각', '건물', '수도', '시설', '옥외', '스프링', '쿨러', '설치', '비용', '최소', '만원', '최대로', '예산', '효과', '즉시', '수', '옥상녹화', '수직', '정원', '결합', '금수강산', '대한민국', '다시', '수', '참고', '저', '농업인', '농', '생물학', '생태', '시스템', '공학', '전공', '박사학위', '소유자', '제', '수직', '정원', '인공', '조물', '녹화', '식물', '품종', '개발', '해외', '로열티', '수출', '정원', '관련', '분야', '일도', '미세먼지', '도시', '환경문제', '근본', '대책', '매우', '시간', '노력', '것', '우선', '적극', '적임', '대안', '중', '가장', '실효', '대안', '적극', '검토']",No
"['악질', '세', '입자', '방지', '를', '위', '한', '세', '입자', '보호', '법', '을', '재정', '해주세요', '저', '우선', '아이', '셋', '부모', '식구', '편이', '아이', '집', '나름', '꿈', '가지', '좀더', '집', '분양', '아이', '학교', '문제', '분양', '집', '바로', '상황', '우선', '월세', '보증금', '백', '월', '보증금', '가격', '이유', '입자', '입자', '이후', '관리', '비', '한번', '걸', '알', '나름', '유주', '입자', '생활', '연락', '집주인', '관리', '비', '일일이', '체크', '웃기', '생각', '체납', '유주', '입자', '주시', '등', '한번', '주의', '알림', '관리소', '원망', '관리', '비', '보증금', '월세', '보증금', '멸후', '개월', '손해', '육박', '나름', '배려', '저희', '일주일', '뒤', '달뒤', '말', '전혀', '노력', '입자', '달', '달이', '지옥', '저희', '대출', '이자', '매', '마이너스', '통장', '이제', '더', '이상', '한계', '입자', '농락', '기분', '막상', '단전', '입자', '관리', '사무소', '입자', '보호', '법', '이야기', '이', '말', '사람', '난방', '수도', '전기', '저희', '빚', '요', '왜', '국가', '입자', '보호', '법', '는걸', '국가', '돈', '보호', '유주', '돈', '세입', '자만', '보호', '유주', '악한', '유주', '단전', '집주인', '누가', '부동산', '입자', '보호', '법', '수정', '금지', '입자', '보호', '법', '보증금', '상태', '적용', '입자', '보호', '법도', '예외', '법안', '명도', '소송도', '보증금', '경우', '제외', '보증금', '입자', '농간', '소유', '주의', '빚', '때', '소송', '진행', '법안', '시기', '정말', '법', '악용', '악질', '입자', '존재', '정말', '유주', '입장', '악질', '입자', '때문', '가슴앓이', '눈물', '경우', '사실', '꼭', '인지', '내', '집', '내', '살', '보지', '못', '새집', '생판', '피', '타인', '점거', '어이', '제때', '가지', '못', '이', '뭐', '상황', '한탄']",Yes
"['파주', '의', '협력', '업체', '직원', '에', '대한', '갑질', '해고', '의', '근절', '응처', '원합니다', '제목', '파주', '의', '협력', '업체', '직원', '대한', '해고', '근절', '청원', '저희', '내의', '내', '수년', '일', '물류', '팀', '조', '조', '조', '총', '여명', '협력', '업체', '근로자', '회의실', '물류', '팀', '조원', '반장', '새해', '해고', '구두', '통고', '파주', '내', '의', '내', '협력', '업체', '업무', '자사', '인원', '협력', '업체', '직원', '물류', '팀', '조', '모두', '해고', '협력', '업체', '대략', '주기', '회사', '이름', '해당', '일과', '차등', '그대로', '승계', '수년', '수여', '년', '일', '교대', '조', '약', '명', '총', '명정', '자사', '생산', '라인', '생산', '계획', '표', '상의', '계획', '자재', '요청', '투입', '재', '품', '운반', '및', '출하', '등', '의', '자사', '직원', '라인', '일', '입장', '또한', '수리', '관', '자재', '상판', '판', '분리', '등', '담당', '일', '저희', '급여', '사원', '차등', '임금', '강요', '년전', '상여금', '매달', '변경', '임금', '창의', '동결', '효과', '발휘', '성과급', '또한', '직원', '절반', '금액', '매년', '지급', '수령', '생산', '라인', '생산', '그대로', '자사', '직원', '협력', '업무', '강제', '모두', '해고', '얼마', '전', '자사', '직원', '위로', '금', '지급', '희망', '퇴직', '단행', '저희', '임금', '일지', '해고', '것', '다행', '위로', '협력', '업체', '대해', '식', '엄동설한', '기습', '해고', '대책', '자사', '직원', '협력', '업체', '일터', '강탈', '저지', '달', '달', '임금', '의', '이익', '기여', '바', '강제', '자사', '준', '위로', '금', '지급', '해주시', '저희', '도움', '협력', '업체', '직원', '대한', '해고', '기업', '가치', '재고', '시기', '비정규직', '정규화', '해고', '시기', '해고', '근절', '청원', '해고', '통보', '날', '공장', '입구', '크리스마스트리', '를', '반짝', '멋', '찌게', '저', '화장실', '게시판', '기업', '사회', '책임', '를', '강조', '명언', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",Yes
"['인터넷', '사기', '근절', '을', '위', '한', '지', '급정지', '제도', '신설', '및', '사이버수사대', '인력', '보강', '및', '기구', '증설', '을', '청원', '합니다', '중고', '물품', '거래', '인터넷', '사이트', '사기꾼', '활개', '치', '행각', '벌이', '옛날', '사기꾼', '외모', '언변', '인터넷', '발달', '현대', '중고', '물품', '거래', '사이트', '수집', '사진', '물품', '등록', '후', '피해자', '카카오', '톡', '문자', '피해자', '양산', '또한', '이', '사기', '개별', '사기', '보이', '달동', '안', '피해자', '무려', '명', '피해', '금액', '역시', '초과', '것', '예상', '대형', '사기', '사건', '이', '계좌', '개', '이상', '명의', '개', '이상', '연락처', '개', '이상', '보유', '집단', '이', '기수법', '다음', '사기', '순서', '인터넷', '거래', '사이트', '카톡', '아이디', '전화번호', '사기', '물품', '등록', '피해자', '의사', '가지', '접근', '시', '가장', '먼저', '피해자', '거주지', '질문', '함', '피해자', '거주지', '광주', '일', '경우', '울산', '서울', '이면', '강릉', '등', '직거래', '지역', '말함', '카카오', '톡', '기타', '앱', '이용', '직거래', '안전', '결제', '거래', '유도', '함', '피해자', '안전', '결제', '대해', '경우', '안전', '결제', '대해', '상세', '설명', '피해자', '입금', '금액', '네이버', '인터넷', '거래', '사이트', '보유', '결제', '완료', '후', '거래', '완료', '피해자', '승인', '본인', '송금', '장함', '카톡', '네이버', '안전', '결제', '가짜', '사이트', '가짜', '사이트', '숫자', '영어', '한글', '제외', '를', '로그인', '피해자', '아이디', '비번', '안', '후', '피해자', '성명', '주소', '전번', '주소록', '유출', '시킴', '가짜', '사이트', '피해자', '로그인', '후', '주문', '성명', '주소', '전화번호', '기입', '함', '개인정보', '유출', '및', '사기꾼', '확', '인용', '카톡', '피해자', '성명', '주소', '피해자', '안심', '시킴', '피해자', '차', '구입', '대금', '입금', '함', '피해자', '입금', '역', '캡처', '카카오', '톡', '등', '구함', '인', '책', '전송', '위함', '추정', '피해자', '수수료', '포함', '입금', '처리', '수수료', '포함', '금액', '재', '입금', '요구', '최초', '입금', '금액', '차', '입금', '후', '반환', '처리', '함', '피해자', '수수료', '포함', '차', '구입', '대금', '입금', '피해자', '수수료', '포함', '입금', '네이버', '페이', '반환', '정책', '변경', '반환', '최저', '금액', '이', '설정', '반환', '최저', '금액', '입금', '반환', '조작', '반환', '정책', '화면', '전송', '함', '반환', '최저', '금액', '차', '입금', '액', '제외', '잔액', '추가', '입금', '구함', '반환', '가능', '액', '입금', '경우', '반환', '가능', '시간', '이', '경과', '반환', '최저', '금액', '상승', '차', '환금', '차', '반환', '입금', '약', '배', '입금', '구함', '피해자', '반환', '가능', '시간', '내', '입금', '경우', '수수료', '포함', '수수료', '포함', '금액', '입금', '구함', '때', '피해자', '피해자', '거래', '중단', '차', '차', '입금', '액', '포함', '반환', '요구', '경우', '인터넷', '안전', '결제', '사이트', '현금', '보관', '주민', '등록증', '주민등록', '등본', '발급', '직접', '반환', '신청', '하라', '주장', '자신', '거래', '중단', '입금', '액', '전송', '대화', '중단', '함', '여성', '피해자', '반환', '재차', '요구', '경우', '얼굴', '사진', '알몸', '사진', '반환', '나', '데이트', '하자', '등', '피해자', '희롱', '거나', '얼굴', '나', '사기', '치자', '오히려', '행각', '권유', '함', '남성', '피해자', '경우', '말', '다음', '사기', '너', '계좌', '입금', '나중', '공범', '협박', '함', '일부', '피해자', '경우', '피해자', '가장', '가족', '친구', '등', '현금', '이체', '유도', '함', '문제점', '중국', '홍콩', '한국', '조직', '연합', '행각', '것', '추정', '대부분', '사기꾼', '계좌', '외국인', '명의', '계좌', '개설', '추적', '어려움', '피해', '신고', '주말', '휴일', '활동', '왕', '성함', '수사권', '계좌', '개설', '경찰서', '보유', '피해자', '신고', '후', '서류', '이송', '담당', '사관', '배정', '은행', '급정지', '신청', '시일', '이상', '이', '소요', '동일', '계좌', '피해자', '양산', '추세', '임', '최대', '피해', '발생', '계좌', '경우', '최초', '사건', '발생', '후', '최종', '발', '생일', '경과', '피해자', '명', '발생', '함', '수사권', '계좌', '개설', '경찰서', '보유', '계좌', '개설', '각기', '달라', '사관', '공조', '수사', '어려움', '인터넷', '사기', '고건', '건', '이상', '발생', '해당', '사관', '업무', '부담', '증대', '해결', '방안', '보이스피싱', '사기', '계좌', '급정지', '제도', '인터넷', '사기', '사건', '발생', '시', '신고', '즉시', '사기', '계좌', '급정지', '제도', '신설', '사이버수사대', '인력', '보강', '경찰청', '전문', '사이버', '수사', '기관', '창설', '중국', '등', '외국', '기관', '협력', '체계', '구축', '등', '피해자', '중', '한명인', '살', '소녀', '사기꾼', '강탈', '사회', '발', '시련', '시작', '이제', '갓', '신혼', '꿈', '부부', '배우자', '생일', '선물', '구입', '사기', '생계', '어려움', '처', '최근', '출산', '기초', '수급', '생활자', '엄마', '젖병', '소독기', '구입', '사기', '등', '이', '조직', '행각', '정도', '피해자', '카카오', '톡', '프로필', '자신', '행각', '이용', '한편', '피해자', '개인정보', '성명', '전화번호', '주소', '를', '또', '다른', '보이스피싱', '조직', '판매', '정도', '내', '인터넷', '사기', '계좌', '급정지', '제도', '신설', '및', '인터넷', '강국', '걸', '사이버수사대', '증설', '사기', '조직', '근절', '및', '인터넷', '거래', '문화', '정착']",Yes
"['필리핀', '인도네시아', '베트남', '무비', '자', '제주도', '관광', '입국', '과', '내륙', '5일', '체류', '반대', '합니다', '국민', '의견', '미래', '제대로', '보지', '못', '졸속', '선심', '외교', '정책', '방안', '제주', '도정', '추산', '불법', '중국인', '취업', '제주도', '법무부', '추산', '불법', '체류', '노동자', '현실', '관광', '제주', '목표', '제주', '특별자치도', '무비', '허용', '불법체류', '중국인', '중국', '눈치', '불법', '중국', '처리', '젠', '동남아', '이번', '조치', '그냥', '한국인', '보호', '니', '불법', '체류', '노동', '하라', '승인', '필리핀', '베트남', '인도네시아', '길', '터주', '미얀마', '캄보디아', '말레이시아', '라오스', '태국', '타당', '한번', '되돌리기', '저', '출산율', '외국인', '해도', '좀더', '우리', '시간', '무분별', '그', '통행', '불법', '체류', '고용', '자', '차라리', '동남아', '각국', '엘리트', '산업', '연수', '합법', '범위', '내', '대폭', '확대', '일단', '후', '한국', '나라', '인재', '교육', '데리', '또한', '민족', '정체', '훼손', '그', '가족', '수용', '불법', '체류', '노동자', '법무부', '경찰청', '확대', '수사권', '대한민국', '미래', '꼭', '우리', '후진국', '사람', '필요', '우리', '나라', '한국', '고용', '시장', '개방', '기업', '탈', '한국', '다시', '한번', '금번', '동남아', '국', '제주도', '내륙', '무비', '체류', '반대', '대신', '산업', '수생', '확대', '그', '대처', '방안']",No
"['군산', '보복', '폭행', '피해자', '는', '억울합니다', '남자친구', '남자친구', '가족', '집앞', '치킨', '집', '약', '치킨', '주문', '중', '남자', '명', '우리', '앞', '술취해', '려니', '생각', '약', '다시', '우리', '갑자기', '남자친구', '이름', '호명', '것', '우린', '황해', '어디', '론', '것', '그때', '욕설', '계속', '본인', '후배', '싸움', '우리', '도대체', '이유', '왜', '소리', '대답', '욕', '뿐', '제', '신고', '폰', '영상', '촬영', '하자', '가해자', '폰', '어깨', '두번째', '가해자', '후배', '또한', '내부', '모욕', '방법', '어깨', '영상', '행해', '중간', '이', '남자친구', '어머니', '옆', '것', '가해자', '어머니', '도', '욕설', '일도', '남자친구', '형님', '또한', '우리', '가해자', '가미', '바람', '남자친구', '형수', '조카', '애', '명', '겁', '벌벌', '우린', '명분', '당', '지금', '시작', '영상', '어깨', '장면', '이안', '증거', '경찰', '중', '지역', '사회', '합의', '등', '나', '피해자', '등', '자리', '이름', '데', '알', '사람', '비아', '발언', '사람', '키', '도크', '덩', '치도', '커서', '저쪽', '가해자', '등', '어머니', '고소', '형사', '어머니', '이일', '말', '말', '나', '청문', '감사', '실가', '사관', '교채', '교채', '조사', '채', '형사', '도마', '찮', '검', '사실', '우리', '쪽', '걱정', '중간', '사관', '우리', '가해자', '기분', '상대방', '년전', '여고생', '살인', '용의자', '공범', '전이', '보복', '바', '어깨', '진단', '주', '수술', '생각', '정신과', '치료', '또한', '개월', '치료', '저', '보디빌더', '가정', '엄마', '일로', '선수', '생활', '꿈', '여기', '끝', '자살', '시도', '아이', '생각', '짓', '엄마', '우리', '아이', '생활', '남', '살', '나', '더', '사람', '이유', '명분', '비걸', '증거불충분', '가정', '피패', '정상', '생활', '법', '정황', '왜안', '경찰차', '신고', '당시', '불구', '가해자', '온몸', '문신', '채', '위퉁', '우리', '사지', '우린', '말', '진심', '사람', '살인', '전과', '때문', '진심', '결론', '증거불충분', '불기소', '니요', '죄', '단말', '입', '가해자', '무슨', '신고', '기소', '겁', '가해자', '왜', '피해자', '계속', '피해', '파출소', '경찰', '검사', '쪽', '우리말', '거', '낱낱', '부터', '불기소', '이유', '처분', '떼', '어보', '사관', '기전', '내용', '그게', '말', '왜', '입', '대한민국', '경찰', '검사', '어디', '신고', '피해자', '계속', '피해', '말입', '그냥', '말입', '제발', '제', '가족', '작년', '설날', '곧', '설날', '심장', '벌렁', '거려', '정신과', '약과', '정형외과', '약', '사건', '종결', '힘', '증거', '남자친구', '남자친구', '가족', '증인', '왜', '가요', '가해자', '절친', '치킨', '골', '손님', '치킨', '집사', '장님', '증인', '우리', '왜', '가요', '우린', '카메라', '보지', '가해자', '우리나라', '피해자', '위', '법입', '가해자', '위', '법입', '꼭', '사람', '반드시', '보복', '껍니', '왜', '피해자', '피해', '보복', '그때', '또', '신고', '경찰', '정말', '본인', '가족', '불기소', '종결', '지금', '사실', '말', '못', '얘기', '나', '피해자', '사건', '종결', '대한', '처음', '부텅', '잘못', '군산', '사관', '다시', '군산', '지역', '사회', '가해자', '아버지', '교도관', '셨', '저', '매번', '국민', '여러분', '저', '피해자', '더', '이상', '피해자', '보복', '더', '나', '신고', '경찰', '말씀', '네', '대답', '진술', '난', '고소', '참고인', '남자친구', '고소', '나', '참고인', '악몽', '국민', '여러분', '이일이', '내일', '생각', '제', '반드시', '부분', '가해자', '벌', '생각', '평상시', '행실', '아이', '함부로', '욕', '폭력', '군산', '사람', '이면', '손바닥', '알', '사람', '가해자', '지인', '가해자', '그냥', '해', '니', '깜', '방한', '번가', '말', '녹취내용', '첨부', '누락', '부분', '이', '합법', '라면', '아무나', '비걸', '욕', '티비', '안보', '곳', '죄', '것입', '경찰', '신고', '당시', '경찰', '가해자', '조회', '파출소', '저', '뭐', '게말', '국민', '여러분', '저', '이일이', '내일', '가족', '일이', '생각', '저', '힘', '백도', '조사', '제', '피해', '사실', '대한', '죄값', '생각', '저', '살인', '전과자', '그냥', '보복', '기전', '피해자', '국민', '여러분', '표', '표', '의']",No
"['자산', '운용', '비리', '에', '대하', '여', '즉각', '적', '인', '수사', '진행', '을', '해야', '합니다', '국내', '최대', '헤지', '펀드', '운용', '사', '자산운용', '영자', '도덕', '해이', '고발', '고객', '돈', '비', '우량', '회사', '투자', '고객', '막대', '손해', '또한', '부사', '사람', '자산', '투자', '회사', '주가조작', '직접', '개입', '회사', '막대', '손해', '뒤', '법윈', '영장', '심사', '날', '잠적', '부사', '국적', '과연', '부사', '단독', '범행', '요', '어제', '이', '회사', '미국', '다단계', '폰', '사기', '휘', '고객', '돈', '억원', '손실', '예상', '기사', '과연', '자산', '웅', '단순', '피해자', '요', '우선', '부실', '다단계', '사기', '것', '인지', '지속', '판매', '도덕', '해이', '당장', '대한민국', '검찰', '머리', '외국인', '임원', '도주', '방관', '은행', '권유', '곳', '투자', '분', '무슨', '잘못', '꼬리', '식', '머리', '외국인', '책임', '전가', '제대로', '수사', '촉구', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",No
